Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
produkte-kommunizieren.de,0,0,1,4,0,0,0,1,0,1,1,1,0,0,1,0,1
lemosomc.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,1
107.172.248.186,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1
slokltd.us,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1
electrocoolhvacr.com,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,1
golrdkuten.rankntan.top,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
halifax.secure-my-device.co.uk,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1
vieuxshack.com,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,1
hmlkl.codesandbox.io,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
kutt.it,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
heaterintwintersz.ams3.digitaloceanspaces.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1
post-fbcom-8kcwqa2h0.saharamarinesc.com,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1
licensekeysfree.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
fugas.cl,0,0,0,2,0,0,0,0,0,1,0,1,1,1,1,1,1
hotelbellevuecachan.com,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1
logits.ml,0,0,0,3,0,0,0,0,0,1,1,1,1,1,1,1,1
odontomoinhos.com.br,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,1
urlz.fr,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
ebay.luxrealtyllc.com,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,1
mentoring.beautyforashes.org,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
spooky-interfaces.000webhostapp.com,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1
guillermo.co.uk,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1
docsharex-authorize.firebaseapp.com,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1
verify-payeetransactions.com,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1
temporaryserver13.com,0,0,1,3,0,0,0,0,0,0,1,1,0,0,1,0,1
ativacao-online73681.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1
zoolinutricaoanimal.com.br,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1
ebay.nascohvac.com,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,1
pastelink.net,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
id-orange-fo.wixsite.com,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1
fashionphotographycourse.com,0,0,1,3,0,0,0,0,0,0,1,1,0,0,1,0,1
ebay.portlibertecontractor.com,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,1
lofon-add.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1
69.176.89.214,0,1,0,2,0,0,0,0,0,1,1,1,0,0,1,0,1
abhimantra.net,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,1
urlz.fr,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
iklood.co,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
myhealthinsquotes.com,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,1
docsharex-authorize.firebaseapp.com,0,0,1,3,0,0,0,1,1,1,1,1,0,0,1,0,1
cpanelgsmdemgsoperateurlocal.000webhostapp.com,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
savageconquest.com,0,0,1,2,0,0,1,0,0,1,1,0,0,0,1,0,1
13.66.49.248,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
vieuxshack.com,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,1
ebay.portlibertecontractor.com,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,1
activadigital-1.com,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1
rebrand.ly,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
ip-184-168-166-154.ip.secureserver.net,0,0,1,3,0,0,0,1,0,1,1,1,0,0,1,0,1
jp-amazon.u-7.top,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1
vodafone.refer-billing.com,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1
lloyds-paye.com,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1
